ServerID,VID,LAVN_VID,AID,LAVN_AID,Hypervisore_Risk,VM_vulnerability,VM_RiskScore,Threat
176,41,315,84,40,0.47758414774111935,0.5417879199277449,0.5417879199277449,0
271,107,292,6,39,0.7497836074255082,0.15597982651457742,0.15597982651457742,0
178,200,244,15,70,0.1137863120326632,0.06536024397069018,0.06536024397069018,0
392,183,454,52,17,0.4331458166065838,0.16181674234278132,0.16181674234278132,0
364,380,210,4,1,0.6922049695446509,0.8750782191649993,0.8750782191649993,1
136,248,398,6,84,0.48155044356369214,0.14406154000355076,0.14406154000355076,0
432,834,109,44,79,0.22006579208623422,0.5096069925212825,0.5096069925212825,0
190,872,178,58,15,0.8129639221086099,0.8360512190060022,0.8360512190060022,1
140,714,276,41,60,0.33294308204163303,0.389821181276214,0.389821181276214,0
305,478,249,2,49,0.9775350146587644,0.24872614690500694,0.24872614690500694,0
165,690,352,19,86,0.006860253371821279,0.5650401383750345,0.5650401383750345,0
458,450,345,9,91,0.09400442391385655,0.7483806399103673,0.7483806399103673,0
283,60,447,7,61,0.7269532632917279,0.9446092925574747,0.9446092925574747,1
292,890,3,12,72,0.3486701604178173,0.2754500017079322,0.2754500017079322,0
3,821,464,3,16,0.7524193428516531,0.10851869224944954,0.10851869224944954,0
322,113,227,84,20,0.7598098175528183,0.9473141775670906,0.9473141775670906,1
473,253,117,18,74,0.5117870508671869,0.4205923445981504,0.4205923445981504,0
342,224,436,68,43,0.3094756689449907,0.22596572138290316,0.22596572138290316,0
21,387,305,70,62,0.7416081763890087,0.8253666585494762,0.8253666585494762,1
471,646,238,23,17,0.39419130912543676,0.5343875826522562,0.5343875826522562,0
342,131,444,59,10,0.14198829889033138,0.19635031941836822,0.19635031941836822,0
379,8,188,46,53,0.9717893730845379,0.07022870918725443,0.07022870918725443,0
336,800,283,30,84,0.7269718681760106,0.9212608363904135,0.9212608363904135,1
461,860,434,38,46,0.19672806465340287,0.5341300390239874,0.5341300390239874,0
100,21,462,90,23,0.11781410574253914,0.6093900351059555,0.6093900351059555,0
488,813,23,87,4,0.4805291853826088,0.8940396529773861,0.8940396529773861,0
480,965,225,16,95,0.0799162307375384,0.7042404367018429,0.7042404367018429,0
4,276,270,78,31,0.04202385423652011,0.5555437344536838,0.5555437344536838,0
21,868,8,81,85,0.3283586282611982,0.5545126484295904,0.5545126484295904,0
114,533,284,20,3,0.33031543960411147,0.29440703475160723,0.29440703475160723,0
225,861,499,98,42,0.6070938353723194,0.9322444346866676,0.9322444346866676,1
203,479,202,60,87,0.8799540861963099,0.7339259709753156,0.7339259709753156,0
315,304,327,85,95,0.5755194744680182,0.15582418093898998,0.15582418093898998,0
298,150,191,74,49,0.26305388978313504,0.5848354219403561,0.5848354219403561,0
347,79,490,6,8,0.8015573875071008,0.7807742653510328,0.7807742653510328,0
379,703,91,56,73,0.5974897454619059,0.16897611461192463,0.16897611461192463,0
244,191,317,78,64,0.7176823173802137,0.3935394081455388,0.3935394081455388,0
288,467,495,3,3,0.3341788901579995,0.706421160409347,0.706421160409347,0
138,734,1,65,75,0.14268022024415605,0.3083731484026606,0.3083731484026606,0
168,43,160,19,6,0.4606654078231486,0.5130306059221462,0.5130306059221462,0
299,304,466,25,41,0.221530442326192,0.5248577076682622,0.5248577076682622,0
356,639,128,95,70,0.5551047341959405,0.026130053169494127,0.026130053169494127,0
430,304,493,1,90,0.6819594212707548,0.6845807784905407,0.6845807784905407,0
296,784,347,97,37,0.12587140858027135,0.9069985883873918,0.9069985883873918,0
437,132,421,48,29,0.283285925364115,0.6244801701929125,0.6244801701929125,0
278,32,132,52,96,0.39334303498415335,0.036766936749646484,0.036766936749646484,0
396,365,331,47,91,0.6379073321215948,0.5132980293573846,0.5132980293573846,0
267,331,101,29,25,0.35553705768938304,0.6741335148575289,0.6741335148575289,0
108,785,253,67,47,0.15644422680115988,0.6959353890874752,0.6959353890874752,0
4,843,489,77,13,0.005262205127161135,0.2160883497105105,0.2160883497105105,0
168,732,139,94,84,0.7220222710526905,0.3233092155576671,0.3233092155576671,0
423,130,123,71,86,0.19936512664756634,0.040794546070181736,0.040794546070181736,0
443,444,305,34,22,0.052457333726297684,0.0789794171331688,0.0789794171331688,0
467,108,129,53,13,0.9943457790484581,0.5372142543467437,0.5372142543467437,0
411,456,405,83,12,0.6026994021968105,0.9522513864135064,0.9522513864135064,1
398,415,301,97,28,0.2593131893563745,0.3863169193828493,0.3863169193828493,0
45,68,348,36,20,0.9817655774488316,0.9892758755651009,0.9892758755651009,1
147,291,257,13,4,0.4354689091033783,0.3181343933489641,0.3181343933489641,0
37,1,131,1,31,0.5047802037175743,0.27009530237963364,0.27009530237963364,0
73,260,455,57,82,0.9704347640933375,0.9369325602836033,0.9369325602836033,1
65,649,197,65,76,0.11502004769880125,0.8678998750752284,0.8678998750752284,0
304,635,254,11,48,0.716096481678647,0.7654308614623808,0.7654308614623808,0
284,933,288,38,61,0.65946019623079,0.7785383667144234,0.7785383667144234,0
314,466,91,22,82,0.47363773916892016,0.023692518346304703,0.023692518346304703,0
234,753,431,59,97,0.8100587946379955,0.2736075524095607,0.2736075524095607,0
305,412,306,24,64,0.7447076883020499,0.9650698906322484,0.9650698906322484,1
342,983,417,30,18,0.039225823089941825,0.5222531431153002,0.5222531431153002,0
395,53,218,65,29,0.8827913635593612,0.6965057130608099,0.6965057130608099,0
27,906,151,77,84,0.032055149694075746,0.08519608716207439,0.08519608716207439,0
265,722,59,67,38,0.1563472135766404,0.22737387907773332,0.22737387907773332,0
276,151,128,29,17,0.7318926068145591,0.5539611766902395,0.5539611766902395,0
433,485,322,64,94,0.8299309700932068,0.3876804411295264,0.3876804411295264,0
311,332,339,67,71,0.9364893985075302,0.6822443275653141,0.6822443275653141,0
199,294,459,17,71,0.3988662475778715,0.5470451660577296,0.5470451660577296,0
